EMPRESA,,1T Online,1T25,1T24,AH% 1T25-1T24,2T25,2T24,AH% 2T25-2T24,3T25,3T24,AH% 3T25-3T24,4T25,4T24,AH% 4T25-4T24,2025,2024,AH% 25-24,,2026,2025,P/L,EV/Ebitda
BOBR4,,22 ,22 ,19,"14,37%",22 ,20 ,"8,80%",22 ,22 ,"0,00%",,,,65,60,"7,39%",,"-7,84%","65,85%","4,29","2,49"
BPAC11,,3.210 ,3.210 ,2.133,"50,47%",4.009 ,2.823 ,"42,01%",4.337 ,3.068 ,"41,36%",,3.124 ,"-100,00%",11.557,11.149,"3,66%",,"-25,98%","60,54%","13,69",          -
BPAN4,,208 ,208 ,172,"20,63%",169 ,190 ,"-10,90%",187 ,196 ,"-4,50%",,190 ,"-100,00%",564,748,"-24,54%",,"-24,34%","45,34%","18,37",          -
BRAP4,,318 ,318 ,768,"-58,57%",450 ,535 ,"-15,95%",448 ,401 ,"11,83%",,-87,"100,00%",1.216,1.617,"-24,80%",,"-27,91%","-3,32%","6,49","-194,15"
BRAV3,,829 ,829 ,13,"6433,56%",1.049 ,-366,"386,90%",121 ,719 ,"-83,21%",,-1.027,"100,00%",1.999,-661,"402,24%",,"-9,46%","-29,29%","7,08","3,7"
BRFS3,,1.124 ,1.124 ,-1.034,"208,74%",741 ,988 ,"-25,02%",805 ,1.025 ,"-21,41%",,696 ,"-100,00%",2.670,1.674,"59,49%",,"87,96%","66,79%","8,49","3,48"
BRKM5,,698 ,698 ,184,"278,44%",-267,-3.735,"92,85%",-26,-1.081,"97,59%",,-5.159,"100,00%",405,-9.791,"104,14%",,"-47,03%","-8,00%","-1,29","16,78"
BRSR6,,241 ,241 ,213,"13,31%",378 ,247 ,"52,72%",378 ,197 ,"91,56%",,284 ,"-100,00%",996,941,"5,87%",,"-17,55%","47,09%","5,27",          -
CAMB3,,19 ,19 ,20,"-5,62%",20 ,25 ,"-20,72%",17 ,21 ,"-17,37%",,10 ,"-100,00%",56,76,"-25,92%",,"3,37%","70,38%","5,97","3,96"
CAML3,,-25,-25,97,"-125,39%",66 ,78 ,"-15,91%",79 ,119 ,"-33,72%",,44 ,"-100,00%",120,294,"-59,19%",,"-28,71%","5,33%","11,92","7,21"
CASH3,,10 ,10 ,-11,"197,23%",7 ,-59,"112,43%",15 ,10 ,"61,33%",,22 ,"-100,00%",33,-39,"185,14%",,"-18,18%","-32,63%","9,19","4,58"
CEAB3,,4 ,4 ,-126,"103,22%",200 ,84 ,"138,87%",69 ,43 ,"62,24%",,255 ,"-100,00%",274,255,"7,28%",,"2,81%","241,92%","10,53","4,12"
CEBR3,,50 ,50 ,52,"-5,24%",47 ,31 ,"52,39%",47 ,48 ,"-1,11%",,52 ,"-100,00%",144,183,"-21,23%",,"-3,93%","105,14%","8,97","8,28"
CGRA4,,4 ,4 ,11,"-57,96%",40 ,26 ,"55,35%",40 ,24 ,"66,25%",,49 ,"-100,00%",85,110,"-22,87%",,"5,87%","8,56%","5,41","4,01"
CLSC4,,253 ,253 ,218,"15,88%",148 ,278 ,"-46,50%",170 ,76 ,"123,43%",,130 ,"-100,00%",571,702,"-18,60%",,"32,10%","31,73%","6,6","5,66"
CMIG4,,1.038 ,1.038 ,1.398,"-25,71%",1.188 ,1.688 ,"-29,64%",796 ,3.280 ,"-75,72%",,997 ,"-100,00%",3.022,7.362,"-58,95%",,"40,86%","0,13%","8,02","5,64"
CMIN3,,-357,-357,516,"-169,26%",116 ,1.507 ,"-92,31%",696 ,446 ,"56,05%",,2.016 ,"-100,00%",455,4.486,"-89,85%",,"-25,69%","118,85%","11,9","3,73"
COCE5,,34 ,34 ,79,"-56,98%",83 ,67 ,"23,90%",-26,68 ,"-137,57%",,202 ,"-100,00%",92,417,"-77,97%",,"-40,34%","-3,10%","9,23","4,23"
COGN3,,95 ,95 ,54,"74,88%",119 ,-8,"1527,19%",192 ,-29,"757,96%",,926 ,"-100,00%",406,943,"-56,99%",,"-68,77%","64,62%","5,09","4,02"
CPFE3,,1.551 ,1.551 ,1.594,"-2,68%",1.124 ,1.051 ,"6,98%",1.308 ,1.265 ,"3,42%",,1.466 ,"-100,00%",3.984,5.376,"-25,90%",,"-10,95%","26,67%","10,19","5,86"
CPLE6,,666 ,666 ,627,"6,21%",572 ,472 ,"21,20%",572 ,1.220 ,"-53,09%",,587 ,"-100,00%",1.810,2.905,"-37,70%",,"-8,22%","35,27%","13,97","10,41"
CRFB3,,225 ,225 ,-113,"299,12%",395 ,330 ,"19,70%",35 ,221 ,"-84,16%",,1.163 ,"-100,00%",655,1.601,"-59,09%",,"-55,76%","-14,76%","9,84","5,79"
CSAN3,,-1.788,-1.788,-904,"-97,75%",-946,-227,"-316,56%",-1.185,293 ,"-504,66%",,-9.297,"100,00%",-3.919,-10.136,"61,33%",,"-56,37%","16,15%","-1,76","5,68"
CSED3,,86 ,86 ,12,"615,62%",63 ,53 ,"17,36%",113 ,62 ,"82,42%",,-10,"100,00%",262,118,"123,16%",,"-37,01%","47,74%","9,31","3,34"
CSMG3,,429 ,429 ,338,"26,89%",289 ,325 ,"-10,99%",361 ,368 ,"-2,02%",,272 ,"-100,00%",1.079,1.303,"-17,21%",,"14,48%","50,55%","11,05","6,82"
CSNA3,,-619,-619,-926,"33,17%",-166,-529,"68,61%",-137,-840,"83,69%",,-633,"100,00%",-922,-2.929,"68,51%",,"-50,09%","54,84%","-7,09","4,29"
CSUD3,,24 ,24 ,20,"20,95%",24 ,22 ,"5,46%",24 ,22 ,"7,45%",,22 ,"-100,00%",72,87,"-17,48%",,"-16,85%","74,27%","8,42","4,05"
CURY3,,213 ,213 ,92,"132,42%",237 ,172 ,"37,44%",255 ,171 ,"49,65%",,166 ,"-100,00%",705,600,"17,49%",,"5,35%","52,99%","12,34","7,87"
CVCB3,,-7,-7,-128,"94,19%",-46,-22,"-109,41%",41 ,14 ,"181,44%",,-61,"100,00%",-13,-197,"93,28%",,"-60,57%","-22,05%","-12,35","2,8"
CYRE3,,328 ,328 ,164,"100,29%",388 ,412 ,"-5,87%",609 ,473 ,"28,75%",,497 ,"-100,00%",1.325,1.545,"-14,29%",,"-27,55%","93,49%","7,31","10,48"
DASA3,,-114,-114,-166,"31,18%",-179,-105,"-70,69%",96 ,-87,"209,51%",,-831,"100,00%",-197,-1.189,"83,43%",,"-80,25%","-29,93%","-4,27","4,67"
DEXP3,,53 ,53 ,46,"15,31%",39 ,30 ,"29,06%",39 ,38 ,"1,16%",,35 ,"-100,00%",130,149,"-12,71%",,"-24,05%","75,45%","5,23","4,49"
DIRR3,,165 ,165 ,59,"180,01%",184 ,146 ,"25,71%",184 ,160 ,"14,51%",,181 ,"-100,00%",532,547,"-2,72%",,"27,57%","46,62%","13,35","9,77"
