EMPRESA,,1T Online,1T25,1T24,AH% 1T25-1T24,2T25,2T24,AH% 2T25-2T24,3T25,3T24,AH% 3T25-3T24,4T25,4T24,AH% 4T25-4T24,2025,2024,AH% 25-24,,2026,2025,P/L,EV/Ebitda
NEOE3,,1.001 ,1.001 ,1.215,"-17,61%",1.631 ,815 ,"100,12%",924 ,841 ,"9,87%",,852 ,"-100,00%",3.556,3.723,"-4,49%",,"-7,00%","47,35%","8,31","5,84"
NGRD3,,-1,-1,3,"-121,74%",-5,-5,"9,59%",3 ,-8,"145,15%",,-18,"100,00%",-2,-27,"93,15%",,"-25,54%","-15,20%","-11,88","2,9"
NTCO3,,-151,-151,-652,"76,91%",195 ,-859,"122,69%",195 ,-6.693,"102,91%",,-443,"100,00%",239,-8.647,"102,77%",,"-21,33%","45,48%","-2,09","5,58"
ODPV3,,170 ,170 ,140,"21,47%",148 ,130 ,"13,60%",142 ,148 ,"-3,67%",,115 ,"-100,00%",460,532,"-13,60%",,"5,91%","32,88%","10,98","7,03"
OFSA3,,2 ,2 ,-3,"160,21%",24 ,17 ,"43,50%",55 ,42 ,"31,54%",,63 ,"-100,00%",81,118,"-31,38%",,"-22,48%","8,75%","9,02","6,36"
OIBR3,,1.656 ,1.656 ,-3.064,"154,06%",-836,15.060 ,"-105,55%",-836,243 ,"-443,36%",,-2.906,"100,00%",-15,9.334,"-100,17%",,"-78,87%","-62,36%","-0,01","-5,16"
ONCO3,,-146,-146,49,"-398,97%",-141,3 ,"-4369,90%",-1.882,-16,"-11708,78%",,-643,"100,00%",-2.170,-607,"-257,59%",,"-82,00%","115,59%","-0,7","8,66"
ORVR3,,-6,-6,-45,"85,97%",24 ,9 ,"170,79%",24 ,37 ,"-35,70%",,-8,"100,00%",41,-7,"675,94%",,"-2,10%","14,14%","131,35","15,09"
PCAR3,,-169,-169,-248,"31,85%",-216,-332,"34,94%",133 ,-311,"142,77%",,-1.104,"100,00%",-252,-1.995,"87,37%",,"-37,19%","-40,66%","-1,37","1,66"
PDGR3,,-101,-101,-209,"51,76%",-82,-69,"-19,70%",24 ,-274,"108,93%",,-20,"100,00%",-159,-572,"72,28%",,"-97,78%","-96,25%","-0,02","-7,09"
PETR4,,35.209 ,35.209 ,38.156,"-7,72%",26.652 ,-2.605,"1123,11%",32.705 ,32.555 ,"0,46%",,-17.044,"100,00%",94.566,51.062,"85,20%",,"18,02%","94,43%","5,52","2,66"
PETZ3,,-2,-2,2,"-212,20%",21 ,-3,"753,27%",32 ,12 ,"167,79%",,-47,"100,00%",50,-36,"239,79%",,"9,63%","-36,74%","520,5","3,22"
PFRM3,,12 ,12 ,-5,"333,08%",22 ,28 ,"-23,09%",47 ,49 ,"-4,77%",,36 ,"-100,00%",80,108,"-25,72%",,"14,46%","69,29%","8,42","2,75"
PGMN3,,5 ,5 ,-63,"107,91%",50 ,33 ,"54,02%",76 ,41 ,"85,41%",,66 ,"-100,00%",131,77,"69,88%",,"-13,36%","-1,94%","14,93","3,58"
PINE4,,73 ,73 ,31,"140,14%",83 ,64 ,"30,06%",104 ,64 ,"61,17%",,67 ,"-100,00%",260,226,"15,19%",,"15,95%","181,08%","7,18",          -
PLPL3,,67 ,67 ,41,"64,20%",84 ,95 ,"-12,33%",78 ,119 ,"-34,56%",,88 ,"-100,00%",229,343,"-33,36%",,"-17,97%","201,37%","9,77","4,2"
PMAM3,,-132,-132,-179,"26,26%",-257,-671,"61,61%",-257,-335,"23,18%",,-810,"100,00%",-647,-1.994,"67,56%",,"-76,50%","-6,87%","-0,08","-31,9"
PNVL3,,25 ,25 ,18,"39,80%",25 ,5 ,"389,08%",31 ,36 ,"-12,71%",,31 ,"-100,00%",82,90,"-9,22%",,"-32,26%","33,97%","13,01","5,68"
POMO4,,242 ,242 ,240,"0,76%",319 ,245 ,"30,35%",323 ,327 ,"-1,05%",,318 ,"-100,00%",885,1.130,"-21,74%",,"33,89%","164,97%","6,73","5,95"
PORT3,,191 ,191 ,83,"131,56%",166 ,44 ,"279,90%",195 ,217 ,"-10,08%",,120 ,"-100,00%",552,463,"19,31%",,"-0,27%","70,54%","12,22","8,14"
POSI3,,-13,-13,8,"-278,95%",-0,4 ,"-101,56%",1 ,1 ,"68,39%",,12 ,"-100,00%",-13,24,"-152,63%",,"-22,03%","-20,41%","-1.471,71","3,68"
PRIO3,,2.073 ,2.073 ,1.162,"78,36%",681 ,1.420 ,"-52,07%",349 ,887 ,"-60,69%",,6.949 ,"-100,00%",3.102,10.418,"-70,22%",,"-12,81%","23,95%","3,35","6,26"
PRNR3,,2 ,2 ,9,"-79,74%",-2,-3,"22,40%",-3,2 ,"-244,11%",,9 ,"-100,00%",-3,17,"-119,35%",,"15,25%","74,63%","160,83","6,17"
PSSA3,,832 ,832 ,333,"150,08%",878 ,584 ,"50,36%",832 ,739 ,"12,56%",,671 ,"-100,00%",2.542,2.327,"9,27%",,"31,00%","29,55%","9,27","0,52"
PTBL3,,-33,-33,-15,"-116,99%",-44,-12,"-282,62%",-41,3 ,"-1664,76%",,-72,"100,00%",-118,-96,"-22,38%",,"-50,94%","-6,18%","-2,38","5,06"
PTNT4,,8 ,8 ,24,"-65,29%",8 ,-2,"515,35%",2 ,15 ,"-86,77%",,18 ,"-100,00%",19,54,"-65,67%",,"-26,43%","22,72%","5,88","4,74"
QUAL3,,14 ,14 ,17,"-15,68%",18 ,13 ,"36,33%",18 ,11 ,"67,91%",,-34,"100,00%",50,6,"688,33%",,"-55,29%","-41,10%","86,57","1,9"
RADL3,,164 ,164 ,192,"-14,72%",374 ,327 ,"14,50%",454 ,335 ,"35,51%",,350 ,"-100,00%",992,1.204,"-17,63%",,"-24,27%","30,23%","29,35","9,68"
RAIl3,,-100,-100,73,"-236,07%",329 ,-1.744,"118,85%",329 ,681 ,"-51,70%",,-265,"100,00%",558,-1.255,"144,45%",,"-21,91%","23,73%","47,03","4,94"
RANI3,,59 ,59 ,83,"-29,25%",104 ,40 ,"160,19%",41 ,38 ,"9,24%",,186 ,"-100,00%",204,347,"-41,17%",,"-33,72%","48,81%","5,1","4,65"
RAPT4,,-8,-8,122,"-106,28%",-35,87 ,"-140,16%",23 ,122 ,"-81,01%",,118 ,"-100,00%",-19,449,"-104,33%",,"-20,38%","62,12%","21,55","5,12"
RDNI3,,-48,-48,1,"-6257,58%",-26,-25,"-3,31%",-29,-11,"-160,71%",,-54,"100,00%",-102,-90,"-14,21%",,"-55,43%","-31,46%","-0,57","-8,9"
RDOR3,,1.040 ,1.040 ,287,"261,99%",1.002 ,972 ,"3,08%",1.474 ,1.146 ,"28,65%",,925 ,"-100,00%",3.516,3.330,"5,59%",,"-9,82%","-1,55%","23,46","9,37"
RECV3,,228 ,228 ,200,"14,04%",238 ,136 ,"74,87%",122 ,159 ,"-23,23%",,32 ,"-100,00%",588,527,"11,50%",,"-14,46%","-31,34%","5,68","3,14"
REDE3,,370 ,370 ,316,"17,08%",315 ,241 ,"30,77%",300 ,286 ,"4,98%",,431 ,"-100,00%",985,1.274,"-22,64%",,"3,08%","37,70%","9,54","5,98"
RENT3,,843 ,843 ,523,"61,29%",-167,-569,"70,66%",-167,811 ,"-120,60%",,838 ,"-100,00%",509,1.603,"-68,24%",,"-47,54%","22,52%","20,14","6,04"
ROMI3,,10 ,10 ,36,"-72,29%",16 ,31 ,"-47,18%",27 ,23 ,"18,96%",,42 ,"-100,00%",54,132,"-59,38%",,"-29,42%","2,17%","7,85","8,64"
SANB11,,3.818 ,3.818 ,2.066,"84,84%",3.534 ,3.076 ,"14,90%",4.045 ,3.521 ,"14,87%",,3.855 ,"-100,00%",11.397,12.518,"-8,95%",,"-22,62%","20,63%","8,49",          -
SAPR4,,1.208 ,425 ,320,"32,99%",264 ,376 ,"-29,75%",246 ,378 ,"-34,73%",,413 ,"-100,00%",935,1.486,"-37,04%",,"-0,51%","75,17%","4,98","4,56"
SBFG3,,68 ,68 ,2,"3651,64%",46 ,229 ,"-79,74%",86 ,134 ,"-35,70%",,135 ,"-100,00%",200,500,"-60,00%",,"-7,25%","-6,56%","10,18","5,66"
SBSP3,,1.482 ,1.482 ,747,"98,35%",2.136 ,1.209 ,"76,60%",2.159 ,6.112 ,"-64,68%",,1.435 ,"-100,00%",5.777,9.503,"-39,22%",,"19,18%","35,04%","13,05","9,19"
SEER3,,44 ,44 ,-28,"253,90%",81 ,49 ,"66,38%",81 ,-2,"3619,08%",,-30,"100,00%",206,-12,"1820,48%",,"-42,75%","75,84%","15,33","3,18"
SEQL3,,-290,-290,-88,"-230,11%",-576,-119,"-384,66%",68 ,-119,"157,37%",,-290,"100,00%",-797,-615,"-29,65%",,"-66,98%","-87,03%","-0,08","-1,94"
SHOW3,,-12,-12,12,"-200,90%",-0,-26,"98,98%",-0,-15,"98,22%",,-25,"100,00%",-12,-54,"77,13%",,"-68,25%","-11,72%","-0,8","-1,45"
SHUL4,,72 ,72 ,76,"-5,72%",74 ,71 ,"4,99%",69 ,78 ,"-11,48%",,47 ,"-100,00%",214,271,"-20,79%",,"-13,16%","56,78%","6,46","7,1"
SIMH3,,-51,-51,77,"-166,17%",-96,49 ,"-295,32%",-246,11 ,"-2370,32%",,-245,"100,00%",-393,-108,"-263,95%",,"-63,55%","42,84%","-7,65","4,14"
SLCE3,,461 ,461 ,539,"-14,52%",162 ,320 ,"-49,50%",-11,1 ,"-1382,15%",,46 ,"-100,00%",611,906,"-32,54%",,"-2,78%","-5,86%","12,31","5,56"
SMFT3,,121 ,121 ,85,"41,79%",160 ,95 ,"68,20%",144 ,89,"61,91%",,164 ,"-100,00%",424,433,"-2,07%",,"-33,13%",,"25,76","5,64"
SMTO3,,158 ,158 ,190,"-16,88%",63 ,106 ,"-40,91%",176 ,187 ,"-5,89%",,158 ,"-100,00%",397,642,"-38,11%",,"-17,23%","14,41%","8,68","3,43"
SOJA3,,1 ,1 ,-14,"105,13%",6 ,4 ,"28,76%",35 ,35 ,"-0,04%",,60 ,"-100,00%",41,85,"-51,50%",,"-35,24%","64,80%","15,18","8,11"
STBP3,,198 ,198 ,46,"332,74%",193 ,172 ,"12,60%",231 ,216 ,"7,09%",,206 ,"-100,00%",623,640,"-2,62%",,"69,41%","25,93%","15,02","7,79"
SUZB3,,6.341 ,6.341 ,5.237,"21,07%",5.005 ,-3.770,"232,74%",1.954 ,3.224 ,"-39,41%",,-6.748,"100,00%",13.299,-2.057,"746,57%",,"14,11%","17,60%","8,98","5,73"
TAEE11,,365 ,365 ,622,"-41,30%",510 ,403 ,"26,51%",341 ,409 ,"-16,78%",,507 ,"-100,00%",1.216,1.942,"-37,39%",,"-5,98%","19,53%","8,48","10,19"
TASA4,,19 ,19 ,35,"-47,38%",33 ,-9,"469,09%",31 ,26 ,"20,44%",,41 ,"-100,00%",83,93,"-10,51%",,"-44,34%","24,03%","5,36","10,9"
TCSA3,,-8,-8,4,"-287,75%",-59,-31,"-89,61%",-59,-43,"-38,65%",,-54,"100,00%",-127,-124,"-2,36%",,"-68,91%","51,70%","-0,59","-4,8"
TECN3,,4 ,4 ,3,"49,05%",19 ,20 ,"-4,85%",19 ,13 ,"45,95%",,26 ,"-100,00%",42,62,"-31,61%",,"63,37%","71,68%","6,05","5,43"
TEND3,,86 ,86 ,-42,"304,06%",204 ,5 ,"4429,24%",112 ,76 ,"46,62%",,21 ,"-100,00%",401,60,"567,51%",,"-15,02%","251,42%","7,74","5,96"
TFCO4,,35 ,35 ,25,"38,68%",34 ,26 ,"29,49%",34 ,25 ,"38,57%",,41 ,"-100,00%",103,116,"-11,76%",,"-39,83%","45,03%","20,69","13,93"
TGMA3,,44 ,44 ,34,"26,77%",67 ,63 ,"6,11%",80 ,84 ,"-5,14%",,85 ,"-100,00%",191,267,"-28,57%",,"11,57%","57,13%","8,8","6,21"
TIMS3,,0 ,0 ,412,"-100,00%",975 ,0 ,,1.208 ,716,"68,67%",,-519,"100,00%",2.183,609,"258,46%",,"-14,16%","52,70%","24,62","6,46"
TOTS3,,195 ,195 ,94,"106,81%",189 ,115 ,"64,29%",243 ,291 ,"-16,39%",,185 ,"-100,00%",627,685,"-8,51%",,"-19,48%","24,24%","34,47","10,75"
TPIS3,,-10,-10,-80,"87,16%",-37,26 ,"-241,66%",-16,15 ,"-209,96%",,-10,"100,00%",-63,-50,"-27,33%",,"27,70%","23,40%","-2,47","3,86"
TRIS3,,41 ,41 ,28,"48,71%",48 ,30 ,"57,61%",48 ,38 ,"26,03%",,73 ,"-100,00%",137,169,"-18,72%",,"-20,63%","75,73%","7,47","8,5"
TTEN3,,192 ,192 ,105,"83,92%",332 ,146 ,"126,66%",332 ,319 ,"4,02%",,136 ,"-100,00%",855,706,"21,21%",,"15,49%","30,43%","8,07","8,29"
TUPY3,,-12,-12,142,"-108,75%",22 ,17 ,"32,57%",-40,50 ,"-178,42%",,-98,"100,00%",-30,112,"-126,58%",,"-16,58%","11,52%","-13,55","4,56"
UCAS3,,-5,-5,4,"-253,92%",-2,3 ,"-167,96%",-1,0 ,"-595,81%",,6 ,"-100,00%",-9,13,"-165,04%",,"-22,30%","9,58%","-37,55","22,99"
UGPA3,,333 ,333 ,262,"27,01%",1.088 ,438 ,"148,53%",1.088 ,652 ,"67,03%",,842 ,"-100,00%",2.510,2.193,"14,42%",,"-38,62%","114,67%","8,82","6,16"
UNIP6,,151 ,151 ,57,"165,58%",233 ,89 ,"162,72%",108 ,119 ,"-8,92%",,292 ,"-100,00%",493,557,"-11,50%",,"-26,10%","-8,64%","9,35","6,87"
USIM5,,301 ,301 ,474,"-36,55%",95 ,-140,"167,79%",-3.540,164 ,"-2264,74%",,-183,"100,00%",-3.144,314,"-1101,88%",,"-40,76%","36,02%","-1,99","2,97"
VALE3,,8.164 ,8.164 ,9.521,"-14,25%",12.081 ,14.592 ,"-17,21%",14.617 ,13.386 ,"9,20%",,-4.677,"100,00%",34.862,32.822,"6,22%",,"-23,31%","-6,29%","9,86","4,14"
VAMO3,,108 ,108 ,169,"-36,24%",93 ,141 ,"-34,14%",50 ,175 ,"-71,18%",,-118,"100,00%",251,367,"-31,61%",,"-49,14%","-17,99%","29,4","4,37"
VBBR3,,615 ,615 ,81,"659,26%",301 ,867 ,"-65,28%",412 ,4.201 ,"-90,19%",,510 ,"-100,00%",1.328,5.659,"-76,53%",,"-16,34%","51,45%","16,25","9,57"
VITT3,,-2,-2,13,"-115,00%",-23,-18,"-30,18%",40 ,46 ,"-13,89%",,47 ,"-100,00%",15,87,"-83,27%",,"-42,97%","-15,29%","10,89","7,89"
VIVA3,,115 ,115 ,39,"198,25%",151 ,211 ,"-28,38%",176 ,107 ,"64,09%",,299 ,"-100,00%",442,656,"-32,64%",,"-42,86%","55,43%","10,76","9,06"
VIVT3,,1.058 ,1.058 ,835,"26,78%",1.344 ,1.222 ,"10,04%",1.888 ,1.667 ,"13,25%",,1.763 ,"-100,00%",4.291,5.487,"-21,80%",,"-7,89%","49,07%","18,54","5,19"
VLID3,,73 ,73 ,59,"23,48%",54 ,80 ,"-32,12%",49 ,90 ,"-45,78%",,63 ,"-100,00%",176,292,"-39,68%",,"28,15%","140,42%","7,74","4,43"
VSTE3,,-15,-15,7,"-333,12%",16 ,6 ,"173,82%",16 ,-12,"232,29%",,12 ,"-100,00%",16,13,"26,86%",,"-61,63%","15,23%","1.030,52","3,82"
VULC3,,106 ,106 ,84,"26,82%",353 ,140 ,"152,85%",547 ,172 ,"217,78%",,169 ,"-100,00%",1.007,565,"78,23%",,"-8,90%","70,04%","4,67","8,32"
WEGE3,,1.546 ,1.546 ,1.307,"18,32%",1.592 ,1.442 ,"10,42%",1.650 ,1.579 ,"4,55%",,1.694 ,"-100,00%",4.788,6.021,"-20,47%",,"45,43%","-2,70%","27,81","17,87"
WEST3,,-9,-9,-13,"35,78%",-3,-8,"67,17%",-3,-1,"-305,63%",,-2,"100,00%",-14,-24,"42,19%",,"-63,77%","15,97%","-4,27","1,79"
WHRL4,,190 ,190 ,69,"177,90%",124 ,85 ,"47,00%",124 ,342 ,"-63,68%",,278 ,"-100,00%",439,773,"-43,21%",,"-0,56%","0,07%","7,54","4,23"
WIZC3,,47 ,47 ,14,"234,22%",49 ,34 ,"45,77%",55 ,50 ,"10,50%",,39 ,"-100,00%",151,137,"10,91%",,"-20,75%","11,37%","7,24","1,82"
YDUQ3,,129 ,129 ,149,"-13,59%",4 ,24 ,"-85,50%",98 ,152 ,"-35,65%",,15 ,"-100,00%",230,340,"-32,33%",,"-61,18%","123,20%","14,44","4,65"
ZAMP3,,-44,-44,-55,"21,15%",-73,-28,"-163,65%",-22,-32,"30,77%",,-32,"100,00%",-138,-148,"6,18%",,"-60,06%","4,59%",-8,"3,78"
